station_id,Restaurant,Cafe,Pizza,Bakery,Sandwich,Fast Food,Desserts,Bar,Burgers,Park,number of bikes
7000,15,20,0,0,5,3,2,4,1,4,34
7001,11,14,1,1,1,3,4,3,2,2,16
7002,15,13,2,1,2,1,0,4,2,3,3
7003,13,12,2,1,0,1,2,3,2,3,4
7004,10,13,2,0,9,4,0,2,1,2,0
7005,8,13,0,0,6,3,1,1,3,0,3
7006,12,16,3,0,7,6,1,4,1,2,3
7007,15,12,1,4,1,3,2,7,2,1,1
7008,12,20,1,0,5,8,1,3,0,2,1
7009,18,11,3,1,6,4,0,5,1,0,8
7010,18,11,6,0,5,0,4,8,1,1,13
7012,8,10,0,0,2,2,2,3,1,1,3
7014,11,12,3,2,8,3,1,6,2,0,17
7015,13,11,2,0,5,6,1,1,3,0,6
7016,8,12,2,0,1,5,0,3,2,2,9
7018,12,8,5,0,2,4,2,5,2,3,5
7020,13,14,3,2,4,4,4,4,3,0,16
7021,8,7,0,0,1,1,3,2,4,0,5
7022,8,12,0,1,5,2,4,3,2,0,8
7023,21,9,3,4,3,0,2,13,1,0,2
7024,12,14,4,1,0,1,2,6,2,0,15
7025,14,20,3,1,5,11,2,6,3,1,5
7026,9,8,1,0,2,4,3,4,1,2,5
7027,9,9,0,2,0,3,2,5,1,0,23
7028,9,13,4,0,4,3,4,4,5,1,5
7029,19,15,5,0,2,3,3,3,1,3,5
7030,10,12,2,0,3,5,5,2,1,3,21
7031,12,20,3,2,3,9,1,8,4,0,11
7032,20,13,1,3,4,0,3,8,2,0,14
7033,10,11,1,0,4,6,1,1,2,1,4
7034,16,19,2,1,4,8,2,5,3,1,1
7035,19,12,3,5,3,1,4,5,3,3,23
7036,17,20,4,2,4,2,5,5,0,2,16
7037,25,12,3,5,7,5,2,8,2,0,7
7038,10,9,3,0,2,13,2,1,5,1,5
7039,6,9,0,0,4,2,3,3,1,0,2
7040,8,11,0,3,0,3,1,1,0,3,3
7041,13,9,2,0,3,5,4,4,1,1,5
7042,12,12,4,2,3,5,0,8,3,0,24
7043,14,12,6,0,3,7,2,4,4,3,12
7044,16,14,5,1,0,1,1,7,2,1,11
7045,14,15,1,2,5,3,0,3,3,0,0
7046,19,11,1,4,5,1,4,8,3,2,19
7047,14,18,2,0,10,6,0,3,1,2,0
7048,10,13,1,0,6,9,0,1,1,0,1
7049,14,10,4,3,2,3,2,9,2,1,8
7050,18,13,2,1,4,3,2,2,2,0,0
7052,14,8,1,0,11,9,0,1,2,0,4
7053,16,5,2,0,8,7,1,2,3,1,20
7054,13,12,4,0,3,2,1,6,1,4,8
7055,4,9,3,1,3,4,2,6,5,1,13
7056,15,11,6,2,6,0,2,4,1,2,20
7057,16,6,2,0,11,8,1,2,3,1,2
